                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.5077,                 1.4302,                 1.3107,                0.56026,                0.53443,                0.51542,                0.25084,                 1.7843,                 1.6959,                 1.6012,               0.003466,               0.003466,               0.003466
                     36,                  1.501,                 1.3911,                 1.3065,                0.56989,                0.53634,                0.52766,                 0.2534,                 1.7971,                 1.6872,                 1.5981,               0.003268,               0.003268,               0.003268
                     37,                 1.4971,                 1.3853,                 1.3121,                0.55867,                0.52775,                0.52209,                0.25245,                 1.8038,                 1.7062,                 1.6238,                0.00307,                0.00307,                0.00307
                     38,                 1.4646,                 1.3456,                 1.2862,                0.59457,                0.55431,                0.54264,                0.26354,                 1.8108,                 1.6573,                 1.6059,               0.002872,               0.002872,               0.002872
                     39,                 1.4853,                  1.349,                 1.2971,                0.57182,                0.55325,                0.55524,                  0.273,                 1.7851,                 1.6212,                 1.6186,               0.002674,               0.002674,               0.002674
                     40,                 1.4646,                 1.3335,                 1.2863,                0.59204,                0.55157,                0.55208,                0.27048,                 1.7914,                 1.6565,                 1.6016,               0.002476,               0.002476,               0.002476
                     41,                 1.5198,                 1.3625,                 1.3284,                0.53954,                 0.5692,                0.53594,                0.26727,                 1.7898,                 1.6334,                 1.6222,               0.002278,               0.002278,               0.002278
                     42,                 1.4718,                  1.271,                 1.2891,                0.59648,                0.54809,                0.56312,                0.27344,                 1.8043,                 1.6241,                 1.6195,                0.00208,                0.00208,                0.00208
                     43,                 1.4752,                 1.2608,                 1.3007,                0.58424,                0.57191,                0.55663,                0.27719,                 1.7975,                  1.615,                 1.6213,               0.001882,               0.001882,               0.001882
                     44,                 1.4621,                 1.2427,                 1.2903,                0.59059,                0.57341,                0.56841,                0.27794,                 1.7766,                 1.6245,                  1.628,               0.001684,               0.001684,               0.001684
                     45,                 1.4185,                 1.2074,                 1.2679,                0.58519,                0.56648,                0.56349,                0.27617,                 1.7994,                 1.6163,                 1.6348,               0.001486,               0.001486,               0.001486
                     46,                 1.3892,                 1.1793,                 1.2542,                0.62834,                0.57503,                 0.5796,                0.28195,                 1.7743,                 1.5859,                 1.6188,               0.001288,               0.001288,               0.001288
                     47,                 1.4209,                 1.1855,                 1.2678,                0.60117,                0.56778,                0.56014,                 0.2769,                  1.769,                  1.615,                 1.6013,                0.00109,                0.00109,                0.00109
                     48,                 1.3828,                 1.1515,                 1.2459,                0.63462,                0.54977,                 0.5749,                0.28298,                 1.7893,                 1.5886,                 1.6135,               0.000892,               0.000892,               0.000892
                     49,                 1.3874,                  1.149,                 1.2462,                0.61014,                0.56157,                0.57373,                0.28332,                 1.7989,                 1.5976,                 1.6262,               0.000694,               0.000694,               0.000694
                     50,                 1.3766,                 1.1448,                 1.2388,                0.60652,                0.57128,                0.57563,                0.28752,                 1.7912,                 1.6033,                 1.6232,               0.000496,               0.000496,               0.000496
