               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.039964,            0.011309,            0.002192,             0.44005,             0.34738,             0.31247,              0.1263,            0.057169,            0.035024,           0.0041779,            0.006535,            0.006535,            0.006535
                  37,            0.037974,            0.012025,           0.0022945,             0.45621,             0.31683,             0.31141,             0.13382,            0.055997,            0.036914,            0.003583,            0.006436,            0.006436,            0.006436
                  38,            0.038892,            0.011131,           0.0021379,             0.50257,             0.36805,             0.36123,             0.14954,             0.05725,              0.0341,           0.0045719,            0.006337,            0.006337,            0.006337
                  39,            0.038587,             0.01159,           0.0023489,             0.42335,             0.38857,             0.34124,               0.132,            0.055773,             0.03285,           0.0040447,            0.006238,            0.006238,            0.006238
                  40,            0.037528,            0.011678,           0.0020861,             0.43965,             0.28658,             0.26919,             0.11026,            0.058807,            0.038877,           0.0048799,            0.006139,            0.006139,            0.006139
                  41,            0.037298,            0.011412,           0.0019807,             0.50479,             0.37172,             0.37343,             0.15503,            0.056811,            0.034644,           0.0055038,             0.00604,             0.00604,             0.00604
                  42,            0.036383,            0.010852,            0.001724,             0.44677,             0.36595,             0.33032,             0.13892,            0.055811,            0.034839,           0.0040596,            0.005941,            0.005941,            0.005941
                  43,            0.037399,            0.010586,           0.0022732,             0.48943,             0.34709,             0.35791,              0.1467,            0.056401,            0.034393,           0.0043893,            0.005842,            0.005842,            0.005842
                  44,            0.037225,            0.011274,           0.0019547,             0.48827,             0.34327,             0.34545,             0.14246,            0.055893,            0.035127,           0.0040557,            0.005743,            0.005743,            0.005743
                  45,            0.036769,            0.010754,           0.0019225,             0.43808,             0.35627,             0.31565,             0.13221,            0.054641,            0.036112,           0.0039517,            0.005644,            0.005644,            0.005644
                  46,             0.03641,            0.011075,           0.0018602,             0.41791,             0.27906,             0.24752,            0.098979,            0.055296,            0.040794,           0.0039798,            0.005545,            0.005545,            0.005545
                  47,            0.035786,            0.011022,           0.0017882,             0.45991,             0.36298,             0.34722,              0.1443,            0.054196,            0.035239,           0.0047963,            0.005446,            0.005446,            0.005446
                  48,            0.034893,            0.010634,           0.0017212,             0.50966,             0.32922,             0.33687,             0.14238,            0.054857,            0.035823,           0.0038088,            0.005347,            0.005347,            0.005347
                  49,            0.035587,            0.010468,           0.0019625,              0.4642,             0.33167,             0.32637,             0.13549,            0.056646,            0.038481,           0.0051175,            0.005248,            0.005248,            0.005248
                  50,            0.034724,            0.010658,           0.0015671,             0.43481,             0.33126,             0.30023,               0.125,            0.056377,            0.037439,           0.0048408,            0.005149,            0.005149,            0.005149
                  51,              0.0346,            0.010604,           0.0019839,             0.47984,             0.34063,             0.33176,             0.13852,            0.055646,            0.039038,           0.0052624,             0.00505,             0.00505,             0.00505
                  52,            0.034624,            0.010291,            0.001736,             0.43989,             0.34686,             0.32044,              0.1321,            0.056875,            0.036016,           0.0055746,            0.004951,            0.004951,            0.004951
                  53,            0.034092,             0.01061,           0.0018163,             0.47765,             0.33949,             0.32936,             0.14382,            0.056858,            0.038386,           0.0049281,            0.004852,            0.004852,            0.004852
                  54,            0.033587,             0.01023,           0.0016156,              0.4757,             0.31279,             0.29288,              0.1237,            0.056119,            0.039159,            0.004766,            0.004753,            0.004753,            0.004753
                  55,            0.032877,           0.0099534,           0.0014442,             0.50245,              0.3308,             0.32148,             0.13665,            0.057619,            0.038754,            0.005081,            0.004654,            0.004654,            0.004654
                  56,            0.033494,             0.01005,            0.001906,             0.45102,             0.31028,             0.30075,              0.1325,            0.056546,            0.040381,           0.0041458,            0.004555,            0.004555,            0.004555
                  57,            0.033047,            0.010129,           0.0015585,              0.5345,             0.32411,             0.34445,             0.15578,            0.054813,            0.038818,           0.0045908,            0.004456,            0.004456,            0.004456
                  58,            0.031894,           0.0094343,           0.0013405,              0.4757,             0.32722,             0.33305,             0.14308,            0.054281,            0.039742,           0.0042229,            0.004357,            0.004357,            0.004357
                  59,            0.032486,            0.009634,           0.0015127,             0.48301,             0.32384,             0.32384,              0.1446,            0.055729,            0.040142,           0.0047861,            0.004258,            0.004258,            0.004258
                  60,            0.031833,           0.0092967,           0.0018797,             0.49332,             0.33457,             0.34114,             0.14898,            0.055648,            0.040184,           0.0040161,            0.004159,            0.004159,            0.004159
                  61,            0.032263,            0.010035,           0.0014155,             0.51946,             0.34946,              0.3527,             0.15674,            0.054722,            0.039017,           0.0039544,             0.00406,             0.00406,             0.00406
                  62,            0.031637,           0.0097322,           0.0014626,             0.50317,             0.34709,              0.3413,              0.1474,            0.054569,            0.039643,           0.0040254,            0.003961,            0.003961,            0.003961
